Fecha,Metal,Valor,Unidad,,
15-03-2018,Inventarios,"319,325",TM,,
16-03-2018,Cobre,314.02,¢US/lb,,
16-03-2018,Oro,"1,320.05",US$/ozt,,
16-03-2018,Plata,16.48,US$/ozt,,
16-03-2018,Molibdeno,9.979,¢US/lb,,
16-03-2018,Inventarios,"321,450",TM,,
19-03-2018,Cobre,308.06,¢US/lb,,
19-03-2018,Oro,"1,311.70",US$/ozt,,
19-03-2018,Plata,16.30,US$/ozt,,
19-03-2018,Molibdeno,10.206,¢US/lb,,
19-03-2018,Inventarios,"319,275",TM,,
20-03-2018,Cobre,307.717,¢US/lb,,
20-03-2018,Oro,"1,312.75",US$/ozt,,
20-03-2018,Plata,16.25,US$/ozt,,
20-03-2018,Molibdeno,10.433,¢US/lb,,
20-03-2018,Inventarios,"322,475",TM,,
21-03-2018,Cobre,302.773,¢US/lb,,
21-03-2018,Oro,"1,316.35",US$/ozt,,
21-03-2018,Plata,"1,329.81",US$/ozt,,
21-03-2018,Molibdeno,10.659,¢US/lb,,
21-03-2018,Inventarios,"321,900",TM,,
22-03-2018,Cobre,306.016,¢US/lb,,
22-03-2018,Oro,"1,328.85",US$/ozt,,
22-03-2018,Plata,16.52,US$/ozt,,
